timestamp,bancada_id,status_operacional,pecas_boas,pecas_defeituosas,tempo_ciclo_segundos
2026-08-17T08:00:10Z,BANCADA_SMART_01,EM_PRODUCAO,1,0,9.8
2026-08-17T08:00:20Z,BANCADA_SMART_01,EM_PRODUCAO,1,0,10.1
2026-08-17T08:00:31Z,BANCADA_SMART_01,EM_PRODUCAO,0,1,10.5
2026-08-17T08:00:41Z,BANCADA_SMART_01,PARADA,0,0,0.0
2026-08-17T08:05:00Z,BANCADA_SMART_01,EM_PRODUCAO,1,0,9.9
2026-08-17T08:05:10Z,BANCADA_SMART_01,EM_PRODUCAO,1,0,10.2
2026-08-17T09:00:00Z,BANCADA_SMART_01,EM_PRODUCAO,1,0,10.0
2026-08-17T09:00:10Z,BANCADA_SMART_01,EM_PRODUCAO,1,0,9.7
2026-08-17T09:00:20Z,BANCADA_SMART_01,EM_PRODUCAO,0,1,11.0
2026-08-17T09:00:31Z,BANCADA_SMART_01,EM_PRODUCAO,1,0,10.3
